date_id,date,day,month,year,week
0,2023-01-01,1,1,2023,1
1,2023-01-02,2,1,2023,1
2,2023-01-03,3,1,2023,1
3,2023-01-04,4,1,2023,1
4,2023-01-05,5,1,2023,1
5,2023-01-06,6,1,2023,1
6,2023-01-07,7,1,2023,1
7,2023-01-08,8,1,2023,2
8,2023-01-09,9,1,2023,2
9,2023-01-10,10,1,2023,2
10,2023-01-11,11,1,2023,2
11,2023-01-12,12,1,2023,2
12,2023-01-13,13,1,2023,2
13,2023-01-14,14,1,2023,2
14,2023-01-15,15,1,2023,3
15,2023-01-16,16,1,2023,3
16,2023-01-17,17,1,2023,3
17,2023-01-18,18,1,2023,3
18,2023-01-19,19,1,2023,3
19,2023-01-20,20,1,2023,3
20,2023-01-21,21,1,2023,3
21,2023-01-22,22,1,2023,4
22,2023-01-23,23,1,2023,4
23,2023-01-24,24,1,2023,4
24,2023-01-25,25,1,2023,4
25,2023-01-26,26,1,2023,4
26,2023-01-27,27,1,2023,4
27,2023-01-28,28,1,2023,4
28,2023-01-29,29,1,2023,5
29,2023-01-30,30,1,2023,5
30,2023-01-31,31,1,2023,5
31,2023-02-01,1,2,2023,5
32,2023-02-02,2,2,2023,5
33,2023-02-03,3,2,2023,5
34,2023-02-04,4,2,2023,5
35,2023-02-05,5,2,2023,6
36,2023-02-06,6,2,2023,6
37,2023-02-07,7,2,2023,6
38,2023-02-08,8,2,2023,6
39,2023-02-09,9,2,2023,6
40,2023-02-10,10,2,2023,6
41,2023-02-11,11,2,2023,6
42,2023-02-12,12,2,2023,7
43,2023-02-13,13,2,2023,7
44,2023-02-14,14,2,2023,7
45,2023-02-15,15,2,2023,7
46,2023-02-16,16,2,2023,7
47,2023-02-17,17,2,2023,7
48,2023-02-18,18,2,2023,7
49,2023-02-19,19,2,2023,8
50,2023-02-20,20,2,2023,8
51,2023-02-21,21,2,2023,8
52,2023-02-22,22,2,2023,8
53,2023-02-23,23,2,2023,8
54,2023-02-24,24,2,2023,8
55,2023-02-25,25,2,2023,8
56,2023-02-26,26,2,2023,9
57,2023-02-27,27,2,2023,9
58,2023-02-28,28,2,2023,9
59,2023-03-01,1,3,2023,9
60,2023-03-02,2,3,2023,9
61,2023-03-03,3,3,2023,9
62,2023-03-04,4,3,2023,9
63,2023-03-05,5,3,2023,10
64,2023-03-06,6,3,2023,10
65,2023-03-07,7,3,2023,10
66,2023-03-08,8,3,2023,10
67,2023-03-09,9,3,2023,10
68,2023-03-10,10,3,2023,10
69,2023-03-11,11,3,2023,10
70,2023-03-12,12,3,2023,11
71,2023-03-13,13,3,2023,11
72,2023-03-14,14,3,2023,11
73,2023-03-15,15,3,2023,11
74,2023-03-16,16,3,2023,11
75,2023-03-17,17,3,2023,11
76,2023-03-18,18,3,2023,11
77,2023-03-19,19,3,2023,12
78,2023-03-20,20,3,2023,12
79,2023-03-21,21,3,2023,12
80,2023-03-22,22,3,2023,12
81,2023-03-23,23,3,2023,12
82,2023-03-24,24,3,2023,12
83,2023-03-25,25,3,2023,12
84,2023-03-26,26,3,2023,13
85,2023-03-27,27,3,2023,13
86,2023-03-28,28,3,2023,13
87,2023-03-29,29,3,2023,13
88,2023-03-30,30,3,2023,13
89,2023-03-31,31,3,2023,13
90,2023-04-01,1,4,2023,13
91,2023-04-02,2,4,2023,14
92,2023-04-03,3,4,2023,14
93,2023-04-04,4,4,2023,14
94,2023-04-05,5,4,2023,14
95,2023-04-06,6,4,2023,14
96,2023-04-07,7,4,2023,14
97,2023-04-08,8,4,2023,14
98,2023-04-09,9,4,2023,15
99,2023-04-10,10,4,2023,15
100,2023-04-11,11,4,2023,15
101,2023-04-12,12,4,2023,15
102,2023-04-13,13,4,2023,15
103,2023-04-14,14,4,2023,15
104,2023-04-15,15,4,2023,15
105,2023-04-16,16,4,2023,16
106,2023-04-17,17,4,2023,16
107,2023-04-18,18,4,2023,16
108,2023-04-19,19,4,2023,16
109,2023-04-20,20,4,2023,16
110,2023-04-21,21,4,2023,16
111,2023-04-22,22,4,2023,16
112,2023-04-23,23,4,2023,17
113,2023-04-24,24,4,2023,17
114,2023-04-25,25,4,2023,17
115,2023-04-26,26,4,2023,17
116,2023-04-27,27,4,2023,17
117,2023-04-28,28,4,2023,17
118,2023-04-29,29,4,2023,17
119,2023-04-30,30,4,2023,18
120,2023-05-01,1,5,2023,18
121,2023-05-02,2,5,2023,18
122,2023-05-03,3,5,2023,18
123,2023-05-04,4,5,2023,18
124,2023-05-05,5,5,2023,18
125,2023-05-06,6,5,2023,18
126,2023-05-07,7,5,2023,19
127,2023-05-08,8,5,2023,19
128,2023-05-09,9,5,2023,19
129,2023-05-10,10,5,2023,19
130,2023-05-11,11,5,2023,19
131,2023-05-12,12,5,2023,19
132,2023-05-13,13,5,2023,19
133,2023-05-14,14,5,2023,20
134,2023-05-15,15,5,2023,20
135,2023-05-16,16,5,2023,20
136,2023-05-17,17,5,2023,20
137,2023-05-18,18,5,2023,20
138,2023-05-19,19,5,2023,20
139,2023-05-20,20,5,2023,20
140,2023-05-21,21,5,2023,21
141,2023-05-22,22,5,2023,21
142,2023-05-23,23,5,2023,21
143,2023-05-24,24,5,2023,21
144,2023-05-25,25,5,2023,21
145,2023-05-26,26,5,2023,21
146,2023-05-27,27,5,2023,21
147,2023-05-28,28,5,2023,22
148,2023-05-29,29,5,2023,22
149,2023-05-30,30,5,2023,22
150,2023-05-31,31,5,2023,22
151,2023-06-01,1,6,2023,22
152,2023-06-02,2,6,2023,22
153,2023-06-03,3,6,2023,22
154,2023-06-04,4,6,2023,23
155,2023-06-05,5,6,2023,23
156,2023-06-06,6,6,2023,23
157,2023-06-07,7,6,2023,23
158,2023-06-08,8,6,2023,23
159,2023-06-09,9,6,2023,23
160,2023-06-10,10,6,2023,23
161,2023-06-11,11,6,2023,24
162,2023-06-12,12,6,2023,24
163,2023-06-13,13,6,2023,24
164,2023-06-14,14,6,2023,24
165,2023-06-15,15,6,2023,24
166,2023-06-16,16,6,2023,24
167,2023-06-17,17,6,2023,24
168,2023-06-18,18,6,2023,25
169,2023-06-19,19,6,2023,25
170,2023-06-20,20,6,2023,25
171,2023-06-21,21,6,2023,25
172,2023-06-22,22,6,2023,25
173,2023-06-23,23,6,2023,25
174,2023-06-24,24,6,2023,25
